Question,Answer,Class
what transaction are included a a part of the free clearing limit,The following transactions comprise part of the free Inter-city clearing Limit: Cheques deposited into your account in other cities (in Local Clearing/within Bank) Inter-city payable-at-par cheque issuances View more,accounts
how is m n bank premium ca different from a regular ca offered by most bank,An M&N  Bank Premium Current Account offers you a host of features that sets it apart from any regular Current Accounts that most banks offer.These features are: Free Intercity Clearing between M&N  Bank Branch Locations Up to 100 free payable-at-par cheque leaves per month View more,accounts
must i open premium current account in each location where i have my company office,"No. As a Premium Current account holder you have the advantage of a single account, multi-location banking facility.",accounts
can i access my premium current account from any m n bank branch,"Yes, you can. Our advanced technology provides you with the flexibility of accessing your account from any of our branches.",accounts
with premium current account can i make payment to my supplier at m n bank branch through single cheque book,"Yes. When you open an account, you will be issued an at-par cheque book, which is payable at all our branches.",accounts
can i access my account by telephone to conduct routine daily transaction,Yes you can. You can use PhoneBanking to perform the following operations: Access your account details Request account statements Make Fixed Deposit related queries Inquire about interest and FX rates Request a cash delivery or pick-up Order a new cheque book View more,accounts
what are included in bulk transaction,"Bulk transactions include: Local Clearing Transactions Anywhere Clearing Transactions Local Fund Transfer Transactions Anywhere Fund Transfer Transactions, View more",accounts
what are the document required for opening a current account of a partnership firm,Following documents are required for opening a Current Account of a partnership firm: Latest Partnership Deed Documents establishing proof of existence - Certificate of Registration under any Statute/Act or professional bodies - Registration Certificate issued by Registrar of Firms - Valid Business License or Certificate of Registration issued by State/Central Government authority (validity would include the grace period for renewal as mentioned in the certificate) - PAN Card in the name of the firm; - Self-signed cheque issued from the firmÃ¢â‚¬â„¢s account from a PSU/private sector/foreign bank along with a bank statement not older than four months Documents for establishing proof of address - Landline telephone bill/electricity bill of public and approved private operators in the State. (Bills not to be older than 4 months from the date of account opening) - Property Ownership Deed i.e. title deeds of the property in the name of the firm duly stamped and registered - Latest property tax or water tax paid receipt/bill raised in the name of the firm - TAN Allotment Letter in the name of the firm - Existing bank account statement or passbook of a PSU/private sector/foreign bank - Statement not older than 4 months from the date of account opening to be accepted Documents for establishing photo identity of authorised partners/signatories View more,accounts
can i access my account by telephone to conduct routine daily transaction,Yes you can. You can use PhoneBanking to perform the following operations: Access your account details Request account statements Make Fixed Deposit related queries Inquire about interest and FX rates Request a cash delivery or pick-up Order a new cheque book View more,accounts
how do i become eligible for an m n bank regular current account,"If the Average Quarterly Balance (AQB) in your Current Account is over Rs.10,000 you are eligible to enjoy the benefits of a Regular Current Account.",accounts
what are the document required for opening a current account of a partnership firm,Following documents are required for opening a Current Account of a partnership firm: Latest Partnership Deed Documents establishing proof of existence - Certificate of Registration under any Statute/Act or professional bodies - Registration Certificate issued by Registrar of Firms - Valid Business License or Certificate of Registration issued by State/Central Government authority (validity would include the grace period for renewal as mentioned in the certificate) - PAN Card in the name of the firm; - Self-signed cheque issued from the firmÃ¢â‚¬â„¢s account from a PSU/private sector/foreign bank along with a bank statement not older than four months Documents for establishing proof of address - Landline telephone bill/electricity bill of public and approved private operators in the State. (Bills not to be older than 4 months from the date of account opening) - Property Ownership Deed i.e. title deeds of the property in the name of the firm duly stamped and registered - Latest property tax or water tax paid receipt/bill raised in the name of the firm - TAN Allotment Letter in the name of the firm - Existing bank account statement or passbook of a PSU/private sector/foreign bank - Statement not older than 4 months from the date of account opening to be accepted Documents for establishing photo identity of authorised partners/signatories View more,accounts
must i open regular current account in each location where i have my company office,"No. As a Regular Current account holder you have the advantage of single account, multi-location banking.",accounts
what is the initial deposit amount required to open the flexi account,"The initial deposit amount to open a Flexi Current account is Rs.75,000.",accounts
what should i do in case i am unable to access my company current account using netbanking,"If you are unable to access your company account, it may be because you have entered an incorrect Customer Identification Number (Cust ID) to log into your NetBanking Account. While opening Accounts of Companies, separate Customer IDs are created in name of the Company as well as each of the Authorized Signatory(ies). The latter is distinct and has to be used to access NetBanking for the Company's Account. However, we regret our inability to disclose the appropriate Customer ID on an unsecure e-mail and request you to contact our nearest Branch or PhoneBanking Center for this. For more details, Contact Us View more",accounts
can i access my account by telephone to conduct routine daily transaction,Yes you can. You can use PhoneBanking to perform the following operations: Access your account details Request account statements Make Fixed Deposit related queries Inquire about interest and FX rates Request a cash delivery or pick-up Order a new cheque book View more,accounts
how is a flexi current account different from a regular current account,"The Flexi account includes the following privileges: Flexibility of higher cash deposits (home location) and transactions anywhere (payments, collections and funds transfers), limits during peak seasons, since these are based on the Average Monthly Balance (AMB) maintained in the account. Calculation of free transaction limits based on balances maintained in the transaction month, leading to a high level of customization in tune with current business requirements. For example, if your season starts in November, you get a transaction limit based on the balance maintained by you in November, and not in October or September. Low minimum balance requirement of Rs. 75,000 per month. Competitive pricing on and faster Collection of Outstation Cheques. Up to 40 free Pay Orders and 40 free Demand Drafts per month. Free RTGS and NEFT Transactions. These privileges make a Flexi Current account different from a Regular Current account. View more",accounts
what are the document required for opening a current account of a partnership firm,Following documents are required for opening a Current Account of a partnership firm: Latest Partnership Deed Documents establishing proof of existence - Certificate of Registration under any Statute/Act or professional bodies - Registration Certificate issued by Registrar of Firms - Valid Business License or Certificate of Registration issued by State/Central Government authority (validity would include the grace period for renewal as mentioned in the certificate) - PAN Card in the name of the firm; - Self-signed cheque issued from the firmÃ¢â‚¬â„¢s account from a PSU/private sector/foreign bank along with a bank statement not older than four months Documents for establishing proof of address - Landline telephone bill/electricity bill of public and approved private operators in the State. (Bills not to be older than 4 months from the date of account opening) - Property Ownership Deed i.e. title deeds of the property in the name of the firm duly stamped and registered - Latest property tax or water tax paid receipt/bill raised in the name of the firm - TAN Allotment Letter in the name of the firm - Existing bank account statement or passbook of a PSU/private sector/foreign bank - Statement not older than 4 months from the date of account opening to be accepted Documents for establishing photo identity of authorised partners/signatories View more,accounts
what transaction are included a a part of the free anywhere transaction limit for a month,The following transactions together comprise part of the Free Anywhere Transaction Limit: Cheques deposited into the account in other cities (in local clearing / within Bank) Inter-city payable-at-par cheques issued. Inter-city account to account funds transfers (Cheque Payments & Collections) within M&N  Bank Accounts. View more,accounts
how much cash can i deposit per month in my home branch without being charged,"The free cash deposit limit at your home branch depends on the AMB you have maintained during the transaction month. This free limit is calculated as 10 times the actual AMB maintained during the transaction month or 50 transactions per month, whichever is less. In case you make more than 50 transactions or your cash deposits are more than 10 times your AMB at your home branch, you will have to pay a charge of Rs. 3 per Rs. 1,000, subject to a minimum of Rs. 50 (excluding taxes). If I maintainI get Monthly Free If I utilizeI am Charged Average Monthly Balance (AMB) in Rs. Home Location Cash Deposit in Rs. (Subject to maximum of 50 transactions) Actual Home Location Cash Deposit in Rs. Rs. (excluding 12.36% Service Tax & Education Cess) 50,000 5,00,000 7,50,000 1,750 (750 + 1000**) 75,000 7,50,000 11,00,000 1,050 1,00,000 10,00,000 9,50,000 Nil 2,21,103* 22,11,000* 20,00,000 Nil 3,00,000 30,00,000 37,00,000 2,100 5,00,000 50,00,000 45,00,000 Nil 10,00,000 1,00,00,000 60,00,000 Nil *The Home Location Cash Deposit Free limit is rounded off to the nearest thousand ** AMB non-maintenance charges View more",accounts
can i access my account from any m n bank branch,Yes. All M&N  Bank branches and systems are interconnected by state-of-the-art technology and allow access at all times.,accounts
what is the minimum balance that i need to maintain in a flexi current account,"You have to maintain an Average Monthly Balance (AMB) of Rs. 75,000 in a Flexi Current account. If you are unable to maintain the AMB you will be have to pay a charge of Rs. 1,000 for the month in which the AMB has not been maintained.",accounts
what is the minimum balance required for an apex current account,"You need to maintain an Average Quarterly Balance (AQB) of Rs. 10,00,000 in your Apex Current account.",accounts
can i access my account from any m n bank branch,Yes. All M&N  Bank branches and systems are interconnected by state-of-the-art technology and allow access at all times.,accounts
is it necessary to open apex current account in each location where my company ha an office,"No. With a Apex Current Account, you enjoy the advantage of a single account with multi-location banking.",accounts
can i make payment to my supplier at m n bank branch through a single cheque book,"Yes. When you open an account, you will be issued an at-par cheque book, which is payable at all our branches.",accounts
what are the document required for opening a current account of a partnership firm,Following documents are required for opening a Current Account of a partnership firm: Latest Partnership Deed Documents establishing proof of existence - Certificate of Registration under any Statute/Act or professional bodies - Registration Certificate issued by Registrar of Firms - Valid Business License or Certificate of Registration issued by State/Central Government authority (validity would include the grace period for renewal as mentioned in the certificate) - PAN Card in the name of the firm; - Self-signed cheque issued from the firmÃ¢â‚¬â„¢s account from a PSU/private sector/foreign bank along with a bank statement not older than four months Documents for establishing proof of address - Landline telephone bill/electricity bill of public and approved private operators in the State. (Bills not to be older than 4 months from the date of account opening) - Property Ownership Deed i.e. title deeds of the property in the name of the firm duly stamped and registered - Latest property tax or water tax paid receipt/bill raised in the name of the firm - TAN Allotment Letter in the name of the firm - Existing bank account statement or passbook of a PSU/private sector/foreign bank - Statement not older than 4 months from the date of account opening to be accepted Documents for establishing photo identity of authorised partners/signatories View more,accounts
can i access my account by telephone to conduct routine daily transaction,Yes you can. You can use PhoneBanking to perform the following operations: Access your account details Request account statements Make Fixed Deposit related queries Inquire about interest and FX rates Request a cash delivery or pick-up Order a new cheque book View more,accounts
what should i do in case i am unable to access my company current account through net banking,"If you are unable to access your company account, it may be because you have entered an incorrect Customer Identification Number (Cust ID) to log into your NetBanking Account. While opening Accounts of Companies, separate Customer IDs are created in name of the Company as well as each of the Authorized Signatory(ies). The latter is distinct and has to be used to access NetBanking for the Company's Account. However, we regret our inability to disclose the appropriate Customer ID on an unsecure e-mail and request you to contact our nearest Branch or PhoneBanking Center for this. For more details, Contact Us",accounts
how is an apex current account different from a regular current account,An Apex Current account includes the following privileges: Higher free limit of Rs. 120 Lakhs per month for cash deposits at your home branch Unlimited free clearing transactions anywhere for payments and collections Free and faster collection of outstation cheques at M&N  Bank locations Free Demand Drafts and Pay Orders Free RTGS and NEFT transactions Free BillPay and InstaAlerts Free Business Debit Card These features make an Apex Current account different from a regular Current account. View more,accounts
what transaction are included a a part of the free anywhere transaction limit for a month,The following transactions comprise part of the Free Anywhere Transaction limit: Cheque deposited into the account in other cities (in local clearing) Inter-city Payable-at-Par cheque issuance. View more,accounts
what transaction are included a a part of the free anywhere transaction limit for a month,The following transactions comprise part of the Free Anywhere Transaction Limit: Cheque deposited into the account in other cities (in local clearing) Inter-city payable-at-par cheques issued View more,accounts
can i make payment to my supplier at m n bank branch through a single cheque book,"Yes. When you open an account, you will be issued an at-par cheque book, which is payable at all our branches.",accounts
what should i do in case i am unable to access my company current account through net banking,"If you are unable to access your company account, it may be because you have entered an incorrect Customer Identification Number (Cust ID) to log into your NetBanking Account. While opening Accounts of Companies, separate Customer IDs are created in name of the Company as well as each of the Authorized Signatory(ies). The latter is distinct and has to be used to access NetBanking for the Company's Account. However, we regret our inability to disclose the appropriate Customer ID on an unsecure e-mail and request you to contact our nearest Branch or PhoneBanking Center for this. For more details, Contact Us",accounts
is it necessary to open max current account in each location where my company ha an office,No. With your Max Current account you enjoy the advantage of single account with multi-location banking.,accounts
can i access my account by telephone to conduct routine daily transaction,Yes you can. You can use PhoneBanking to perform the following operations: Access your account details Request account statements Make Fixed Deposit related queries Inquire about interest and FX rates Request a cash delivery or pick-up Order a new cheque book View more,accounts
what are the document required for opening a current account of a partnership firm,Following documents are required for opening a Current Account of a partnership firm: Latest Partnership Deed Documents establishing proof of existence - Certificate of Registration under any Statute/Act or professional bodies - Registration Certificate issued by Registrar of Firms - Valid Business License or Certificate of Registration issued by State/Central Government authority (validity would include the grace period for renewal as mentioned in the certificate) - PAN Card in the name of the firm; - Self-signed cheque issued from the firmÃ¢â‚¬â„¢s account from a PSU/private sector/foreign bank along with a bank statement not older than four months Documents for establishing proof of address - Landline telephone bill/electricity bill of public and approved private operators in the State. (Bills not to be older than 4 months from the date of account opening) - Property Ownership Deed i.e. title deeds of the property in the name of the firm duly stamped and registered - Latest property tax or water tax paid receipt/bill raised in the name of the firm - TAN Allotment Letter in the name of the firm - Existing bank account statement or passbook of a PSU/private sector/foreign bank - Statement not older than 4 months from the date of account opening to be accepted Documents for establishing photo identity of authorised partners/signatories View more,accounts
what is the initial deposit amount required to open a max current account,"You need an initial deposit of Rs. 5,00,000 to open a Max Current account.",accounts
what is the minimum balance that i need to maintain in a max current account,"You need to maintain an Average Quarterly Balance of Rs. 5,00,000 in your Max Current account.",accounts
can i access my account from any m n bank branch,Yes. All M&N  Bank branches and systems are interconnected by state-of-the-art technology and allow access at all times.,accounts
how is m n bank max current account different from a regular current account,Your Max Current account includes the following privileges: Combined free limit of 60 Lacs per month at home and Non- Home Locations. Free and faster collection of outstation cheques at M&N  Bank locations Free Demand Drafts and Pay Orders Free RTGS and NEFT transactions Free BillPay & InstaAlerts Free Business Debit Card This makes a Max Current account different from a regular Current account. View more,accounts
must i open an account in each location where i have my company office,"No. As a Premium Current Account holder you have the advantage of a single account, multi-location banking facility.",accounts
what is the minimum average monthly balance required if i have a merchant advantage current account,"You have to maintain a minimum Average Monthly Balance (AMB) of Rs. 25,000.",accounts
what are the document required for opening a current account of a partnership firm,Following documents are required for opening a Current Account of a partnership firm: Latest Partnership Deed Documents establishing proof of existence - Certificate of Registration under any Statute/Act or professional bodies - Registration Certificate issued by Registrar of Firms - Valid Business License or Certificate of Registration issued by State/Central Government authority (validity would include the grace period for renewal as mentioned in the certificate) - PAN Card in the name of the firm; - Self-signed cheque issued from the firmÃ¢â‚¬â„¢s account from a PSU/private sector/foreign bank along with a bank statement not older than four months Documents for establishing proof of address - Landline telephone bill/electricity bill of public and approved private operators in the State. (Bills not to be older than 4 months from the date of account opening) - Property Ownership Deed i.e. title deeds of the property in the name of the firm duly stamped and registered - Latest property tax or water tax paid receipt/bill raised in the name of the firm - TAN Allotment Letter in the name of the firm - Existing bank account statement or passbook of a PSU/private sector/foreign bank - Statement not older than 4 months from the date of account opening to be accepted Documents for establishing photo identity of authorised partners/signatories View more,accounts
must i open an merchant advantage current account in each location where i have my company office,No. A Merchant Advantage Current Account gives you the advantage of a single account with multi-location banking.,accounts
can i access my account by telephone to conduct routine daily transaction,Yes you can. You can use PhoneBanking to perform the following operations: Access your account details Request account statements Make Fixed Deposit related queries Inquire about interest and FX rates Request a cash delivery or pick-up Order a new cheque book View more,accounts
can i access my merchant advantage plus current account from any m n bank branch,Yes. The advanced technology of our systems provides you with the flexibility of accessing your account from any M&N  Bank branch.,accounts
with merchant plus current account can i make payment to my supplier at m n bank branch through single cheque book,"Yes. When you open an account, you will be issued an at-par cheque book, which is payable at M&N  Bank branches.",accounts
what are the document required for opening a current account of a partnership firm,Following documents are required for opening a Current Account of a partnership firm: Latest Partnership Deed Documents establishing proof of existence - Certificate of Registration under any Statute/Act or professional bodies - Registration Certificate issued by Registrar of Firms - Valid Business License or Certificate of Registration issued by State/Central Government authority (validity would include the grace period for renewal as mentioned in the certificate) - PAN Card in the name of the firm; - Self-signed cheque issued from the firmÃ¢â‚¬â„¢s account from a PSU/private sector/foreign bank along with a bank statement not older than four months Documents for establishing proof of address - Landline telephone bill/electricity bill of public and approved private operators in the State. (Bills not to be older than 4 months from the date of account opening) - Property Ownership Deed i.e. title deeds of the property in the name of the firm duly stamped and registered - Latest property tax or water tax paid receipt/bill raised in the name of the firm - TAN Allotment Letter in the name of the firm - Existing bank account statement or passbook of a PSU/private sector/foreign bank - Statement not older than 4 months from the date of account opening to be accepted Documents for establishing photo identity of authorised partners/signatories View more,accounts
can i access my account by telephone to conduct routine daily transaction,Yes you can. You can use PhoneBanking to perform the following operations: Access your account details Request account statements Make Fixed Deposit related queries Inquire about interest and FX rates Request a cash delivery or pick-up Order a new cheque book View more,accounts
how is a merchant advantage plus current account different from a regular current account offered by most bank,A Merchant Advantage Plus Current Account offers you the following privileges: Free limit for cash deposits up to four times the amount swiped at the M&N  Bank EDC machine linked to your Merchant Advantage Plus Current Account Free and faster collection of outstation cheques at M&N  Bank locations Free RTGS and NEFT transactions Free BillPay and InstaAlerts Free Regular and Business Debit Cards These privileges make a Merchant Advantage Plus Current account different from a Regular Current account. View more,accounts
how is a merchant advantage plus current account different from a regular current account offered by most bank,A Merchant Advantage Plus Current Account offers you the following privileges: Free limit for cash deposits up to four times the amount swiped at the M&N  Bank EDC machine linked to your Merchant Advantage Plus Current Account Free inter-city clearing between M&N  Bank branch locations (except Dahej) up to Rs.50 Lakhs per month Free and faster collection of outstation cheques at M&N  Bank locations Free RTGS and NEFT transactions Free BillPay and InstaAlerts Free Regular and Business Debit Cards These privileges make a Merchant Advantage Plus Current account different from a Regular Current account. View more,accounts
what is the minimum average monthly balance i have to maintain with a merchant advantage plus current account,"You have to maintain a minimum Average Monthly Balance (AMB) of Rs. 1,00,000 with your Merchant Advantage Plus Current account.",accounts
what are the document required for opening a current account of a partnership firm,Following documents are required for opening a Current Account of a partnership firm: Latest Partnership Deed Documents establishing proof of existence - Certificate of Registration under any Statute/Act or professional bodies - Registration Certificate issued by Registrar of Firms - Valid Business License or Certificate of Registration issued by State/Central Government authority (validity would include the grace period for renewal as mentioned in the certificate) - PAN Card in the name of the firm; - Self-signed cheque issued from the firmÃ¢â‚¬â„¢s account from a PSU/private sector/foreign bank along with a bank statement not older than four months Documents for establishing proof of address - Landline telephone bill/electricity bill of public and approved private operators in the State. (Bills not to be older than 4 months from the date of account opening) - Property Ownership Deed i.e. title deeds of the property in the name of the firm duly stamped and registered - Latest property tax or water tax paid receipt/bill raised in the name of the firm - TAN Allotment Letter in the name of the firm - Existing bank account statement or passbook of a PSU/private sector/foreign bank - Statement not older than 4 months from the date of account opening to be accepted Documents for establishing photo identity of authorised partners/signatories View more,accounts
what are the document required for opening a current account of a partnership firm,Following documents are required for opening a Current Account of a partnership firm: Latest Partnership Deed Documents establishing proof of existence - Certificate of Registration under any Statute/Act or professional bodies - Registration Certificate issued by Registrar of Firms - Valid Business License or Certificate of Registration issued by State/Central Government authority (validity would include the grace period for renewal as mentioned in the certificate) - PAN Card in the name of the firm; - Self-signed cheque issued from the firmÃ¢â‚¬â„¢s account from a PSU/private sector/foreign bank along with a bank statement not older than four months Documents for establishing proof of address - Landline telephone bill/electricity bill of public and approved private operators in the State. (Bills not to be older than 4 months from the date of account opening) - Property Ownership Deed i.e. title deeds of the property in the name of the firm duly stamped and registered - Latest property tax or water tax paid receipt/bill raised in the name of the firm - TAN Allotment Letter in the name of the firm - Existing bank account statement or passbook of a PSU/private sector/foreign bank - Statement not older than 4 months from the date of account opening to be accepted Documents for establishing photo identity of authorised partners/signatories View more,accounts
what are the document required for opening a current account of a partnership firm,Following documents are required for opening a Current Account of a partnership firm: Latest Partnership Deed Documents establishing proof of existence - Certificate of Registration under any Statute/Act or professional bodies - Registration Certificate issued by Registrar of Firms - Valid Business License or Certificate of Registration issued by State/Central Government authority (validity would include the grace period for renewal as mentioned in the certificate) - PAN Card in the name of the firm; - Self-signed cheque issued from the firmÃ¢â‚¬â„¢s account from a PSU/private sector/foreign bank along with a bank statement not older than four months Documents for establishing proof of address - Landline telephone bill/electricity bill of public and approved private operators in the State. (Bills not to be older than 4 months from the date of account opening) - Property Ownership Deed i.e. title deeds of the property in the name of the firm duly stamped and registered - Latest property tax or water tax paid receipt/bill raised in the name of the firm - TAN Allotment Letter in the name of the firm - Existing bank account statement or passbook of a PSU/private sector/foreign bank - Statement not older than 4 months from the date of account opening to be accepted Documents for establishing photo identity of authorised partners/signatories View more,accounts
what are the document required for opening a current account of a partnership firm,Following documents are required for opening a Current Account of a partnership firm: Latest Partnership Deed Documents establishing proof of existence - Certificate of Registration under any Statute/Act or professional bodies - Registration Certificate issued by Registrar of Firms - Valid Business License or Certificate of Registration issued by State/Central Government authority (validity would include the grace period for renewal as mentioned in the certificate) - PAN Card in the name of the firm; - Self-signed cheque issued from the firmÃ¢â‚¬â„¢s account from a PSU/private sector/foreign bank along with a bank statement not older than four months Documents for establishing proof of address - Landline telephone bill/electricity bill of public and approved private operators in the State. (Bills not to be older than 4 months from the date of account opening) - Property Ownership Deed i.e. title deeds of the property in the name of the firm duly stamped and registered - Latest property tax or water tax paid receipt/bill raised in the name of the firm - TAN Allotment Letter in the name of the firm - Existing bank account statement or passbook of a PSU/private sector/foreign bank - Statement not older than 4 months from the date of account opening to be accepted Documents for establishing photo identity of authorised partners/signatories View more,accounts
what are the document required for opening a current account of a partnership firm,Following documents are required for opening a Current Account of a partnership firm: Latest Partnership Deed Documents establishing proof of existence - Certificate of Registration under any Statute/Act or professional bodies - Registration Certificate issued by Registrar of Firms - Valid Business License or Certificate of Registration issued by State/Central Government authority (validity would include the grace period for renewal as mentioned in the certificate) - PAN Card in the name of the firm; - Self-signed cheque issued from the firmÃ¢â‚¬â„¢s account from a PSU/private sector/foreign bank along with a bank statement not older than four months Documents for establishing proof of address - Landline telephone bill/electricity bill of public and approved private operators in the State. (Bills not to be older than 4 months from the date of account opening) - Property Ownership Deed i.e. title deeds of the property in the name of the firm duly stamped and registered - Latest property tax or water tax paid receipt/bill raised in the name of the firm - TAN Allotment Letter in the name of the firm - Existing bank account statement or passbook of a PSU/private sector/foreign bank - Statement not older than 4 months from the date of account opening to be accepted Documents for establishing photo identity of authorised partners/signatories View more,accounts
what are the document required for opening a current account of a partnership firm,Following documents are required for opening a Current Account of a partnership firm: Latest Partnership Deed Documents establishing proof of existence - Certificate of Registration under any Statute/Act or professional bodies - Registration Certificate issued by Registrar of Firms - Valid Business License or Certificate of Registration issued by State/Central Government authority (validity would include the grace period for renewal as mentioned in the certificate) - PAN Card in the name of the firm; - Self-signed cheque issued from the firmÃ¢â‚¬â„¢s account from a PSU/private sector/foreign bank along with a bank statement not older than four months Documents for establishing proof of address - Landline telephone bill/electricity bill of public and approved private operators in the State. (Bills not to be older than 4 months from the date of account opening) - Property Ownership Deed i.e. title deeds of the property in the name of the firm duly stamped and registered - Latest property tax or water tax paid receipt/bill raised in the name of the firm - TAN Allotment Letter in the name of the firm - Existing bank account statement or passbook of a PSU/private sector/foreign bank - Statement not older than 4 months from the date of account opening to be accepted Documents for establishing photo identity of authorised partners/signatories View more,accounts
what are the document required for opening a current account of a partnership firm,Following documents are required for opening a Current Account of a partnership firm: Latest Partnership Deed Documents establishing proof of existence - Certificate of Registration under any Statute/Act or professional bodies - Registration Certificate issued by Registrar of Firms - Valid Business License or Certificate of Registration issued by State/Central Government authority (validity would include the grace period for renewal as mentioned in the certificate) - PAN Card in the name of the firm; - Self-signed cheque issued from the firmÃ¢â‚¬â„¢s account from a PSU/private sector/foreign bank along with a bank statement not older than four months Documents for establishing proof of address - Landline telephone bill/electricity bill of public and approved private operators in the State. (Bills not to be older than 4 months from the date of account opening) - Property Ownership Deed i.e. title deeds of the property in the name of the firm duly stamped and registered - Latest property tax or water tax paid receipt/bill raised in the name of the firm - TAN Allotment Letter in the name of the firm - Existing bank account statement or passbook of a PSU/private sector/foreign bank - Statement not older than 4 months from the date of account opening to be accepted Documents for establishing photo identity of authorised partners/signatories View more,accounts
